"Date","Time","Open","High","Low","Close","Vol","OI"
03/18/2019,22:00,46.45,47.10,46.45,47.01,104879328,0
03/19/2019,22:00,47.09,47.25,46.48,46.63,126585476,0
03/20/2019,22:00,46.56,47.37,46.18,47.04,124140924,0
03/21/2019,22:00,47.51,49.08,47.45,48.77,204136948,0
03/22/2019,22:00,48.84,49.42,47.70,47.76,169630664,0
03/25/2019,22:00,47.88,48.00,46.65,47.19,175381172,0
03/26/2019,22:00,47.92,48.22,46.15,46.70,199202152,0
03/27/2019,22:00,47.19,47.44,46.64,47.12,119393708,0
03/28/2019,22:00,47.24,47.39,46.88,47.18,83121452,0
03/29/2019,22:00,47.46,47.52,47.14,47.49,94255844,0
04/01/2019,22:00,47.91,47.92,47.10,47.81,111447856,0
04/02/2019,22:00,47.77,48.62,47.76,48.51,91062928,0
04/03/2019,22:00,48.31,49.13,48.29,48.84,93087320,0
04/04/2019,22:00,48.70,49.09,48.29,48.92,76457100,0
04/05/2019,22:00,49.11,49.28,48.98,49.25,74106576,0
04/08/2019,22:00,49.11,50.06,49.09,50.03,103526788,0
04/09/2019,22:00,50.08,50.71,49.81,49.88,143072948,0
04/10/2019,22:00,49.67,50.19,49.55,50.16,86781152,0
04/11/2019,22:00,50.21,50.25,49.61,49.74,83603232,0
04/12/2019,22:00,49.80,50.04,49.05,49.72,111042672,0
04/15/2019,22:00,49.65,49.96,49.50,49.81,70146584,0
04/16/2019,22:00,49.87,50.34,49.64,49.81,102785540,0
04/17/2019,22:00,49.89,50.85,49.65,50.78,115627120,0
04/18/2019,22:00,50.78,51.04,50.63,50.97,96783064,0
04/22/2019,22:00,50.71,51.24,50.59,51.13,77758180,0
04/23/2019,22:00,51.11,51.94,50.98,51.87,93291964,0
04/24/2019,22:00,51.84,52.12,51.76,51.79,70162436,0
04/25/2019,22:00,51.71,51.94,51.28,51.32,74172824,0
04/26/2019,22:00,51.23,51.25,50.53,51.08,74596408,0
04/29/2019,22:00,51.10,51.49,50.97,51.15,88818864,0
04/30/2019,22:00,50.77,50.85,49.78,50.17,186139692,0
05/01/2019,22:00,52.47,53.83,52.31,52.63,259309312,0
05/02/2019,22:00,52.46,53.16,52.03,52.29,127985296,0
05/03/2019,22:00,52.72,52.96,52.56,52.94,83569512,0
05/06/2019,22:00,51.07,52.21,50.88,52.12,129772452,0
05/07/2019,22:00,51.47,51.85,50.21,50.72,155054792,0
05/08/2019,22:00,50.48,51.34,50.44,50.73,105358016,0
05/09/2019,22:00,50.10,50.42,49.17,50.18,139634428,0
05/10/2019,22:00,49.35,49.71,48.19,49.30,164834848,0
05/13/2019,22:00,46.93,47.37,45.71,46.43,229722492,0
05/14/2019,22:00,46.60,47.43,46.35,47.17,146118708,0
05/15/2019,22:00,46.57,47.94,46.51,47.73,106178872,0
05/16/2019,22:00,47.48,48.12,47.21,47.52,132125456,0
05/17/2019,22:00,46.73,47.73,46.69,47.25,131516360,0
05/20/2019,22:00,45.88,46.09,45.07,45.77,154449160,0
05/21/2019,22:00,46.31,47.00,46.18,46.65,113459392,0
05/22/2019,22:00,46.17,46.43,45.64,45.70,118994224,0
05/23/2019,22:00,44.95,45.14,44.45,44.92,146118944,0
05/24/2019,22:00,45.05,45.54,44.66,44.74,94858744,0
05/28/2019,22:00,44.73,45.15,44.48,44.56,111792640,0
05/29/2019,22:00,44.11,44.84,44.00,44.35,113924660,0
05/30/2019,22:00,44.49,44.81,44.17,44.58,84873648,0
05/31/2019,22:00,44.06,44.50,43.75,43.77,108174336,0
06/03/2019,22:00,43.90,44.48,42.57,43.33,161584276,0
06/04/2019,22:00,43.86,44.96,43.63,44.91,123871844,0
06/05/2019,22:00,46.07,46.25,45.29,45.64,119093708,0
06/06/2019,22:00,45.77,46.37,45.54,46.31,90105244,0
06/07/2019,22:00,46.63,47.98,46.44,47.54,122737572,0
06/10/2019,22:00,47.95,48.84,47.91,48.15,104883404,0
06/11/2019,22:00,48.72,49.00,48.40,48.70,107731528,0
06/12/2019,22:00,48.49,48.99,48.35,48.55,73012756,0
06/13/2019,22:00,48.68,49.20,48.40,48.54,86698500,0
06/14/2019,22:00,47.89,48.40,47.58,48.19,75045896,0
06/17/2019,22:00,48.23,48.74,48.04,48.47,58676576,0
06/18/2019,22:00,49.01,50.07,48.80,49.61,106204016,0
06/19/2019,22:00,49.92,49.97,49.33,49.47,84496940,0
06/20/2019,22:00,50.09,50.15,49.51,49.87,86055952,0
06/21/2019,22:00,49.63,50.21,49.54,49.70,191202356,0
06/24/2019,22:00,49.64,50.04,49.54,49.65,72881684,0
06/25/2019,22:00,49.61,49.82,48.82,48.89,84281336,0
06/26/2019,22:00,49.44,50.25,49.34,49.95,104270048,0
06/27/2019,22:00,50.07,50.39,49.89,49.94,83598868,0
06/28/2019,22:00,49.67,49.87,49.26,49.48,124442568,0
07/01/2019,22:00,50.79,51.12,50.16,50.39,109266956,0
07/02/2019,22:00,50.35,50.78,50.34,50.68,67740868,0
07/03/2019,22:00,50.82,51.11,50.67,51.10,45448180,0
07/05/2019,22:00,50.84,51.27,50.73,51.06,69062072,0
07/08/2019,22:00,50.20,50.35,49.60,50.01,101354512,0
07/09/2019,22:00,49.80,50.38,49.70,50.31,82312060,0
07/10/2019,22:00,50.46,50.93,50.39,50.81,71588552,0
07/11/2019,22:00,50.83,51.10,50.43,50.44,80767368,0
07/12/2019,22:00,50.61,51.00,50.55,50.83,70380848,0
07/15/2019,22:00,51.02,51.47,51.00,51.30,67789680,0
07/16/2019,22:00,51.15,51.53,50.88,51.13,67467264,0
07/17/2019,22:00,51.01,51.27,50.82,50.84,56429800,0
07/18/2019,22:00,51.00,51.47,50.93,51.42,74328644,0
07/19/2019,22:00,51.45,51.63,50.59,50.65,83717228,0
07/22/2019,22:00,50.91,51.81,50.90,51.81,89111728,0
07/23/2019,22:00,52.12,52.23,51.82,52.21,73420840,0
07/24/2019,22:00,51.92,52.29,51.79,52.17,59966268,0
07/25/2019,22:00,52.22,52.31,51.68,51.76,55638248,0
07/26/2019,22:00,51.87,52.43,51.79,51.94,70475496,0
07/29/2019,22:00,52.12,52.66,52.11,52.42,86693556,0
07/30/2019,22:00,52.19,52.54,51.83,52.20,135742872,0
07/31/2019,22:00,54.11,55.34,52.83,53.26,277125444,0
08/01/2019,22:00,53.48,54.51,51.69,52.11,216071688,0
08/02/2019,22:00,51.38,51.61,50.41,51.01,163448488,0
08/05/2019,22:00,49.50,49.66,48.15,48.34,209571876,0
08/06/2019,22:00,49.08,49.52,48.51,49.25,143299148,0
08/07/2019,22:00,48.85,49.89,48.46,49.76,133457600,0
08/08/2019,22:00,50.05,50.88,49.85,50.86,108038092,0
08/09/2019,22:00,50.33,50.69,49.82,50.25,98478984,0
08/12/2019,22:00,49.91,50.51,49.79,50.12,89927556,0
08/13/2019,22:00,50.26,53.04,50.21,52.24,190159144,0
08/14/2019,22:00,50.79,51.61,50.65,50.69,146189772,0
08/15/2019,22:00,50.87,51.29,49.92,50.44,111533452,0
08/16/2019,22:00,51.07,51.79,50.96,51.63,115254496,0
08/19/2019,22:00,52.66,53.18,52.51,52.59,97727660,0
08/20/2019,22:00,52.72,53.34,52.58,52.59,107678116,0
08/21/2019,22:00,53.25,53.41,52.90,53.16,86258988,0
08/22/2019,22:00,53.30,53.61,52.69,53.12,89071276,0
08/23/2019,22:00,52.36,53.01,50.25,50.66,187531372,0
08/26/2019,22:00,51.47,51.80,51.26,51.62,104264520,0
08/27/2019,22:00,51.97,52.14,50.88,51.04,103589376,0
08/28/2019,22:00,51.03,51.43,50.83,51.38,63830528,0
08/29/2019,22:00,52.13,52.33,51.66,52.25,84030608,0
08/30/2019,22:00,52.54,52.61,51.80,52.19,84650244,0
09/03/2019,22:00,51.61,51.75,51.06,51.43,80238296,0
09/04/2019,22:00,52.10,52.37,51.83,52.30,76867280,0
09/05/2019,22:00,53.00,53.49,52.88,53.32,95787936,0
09/06/2019,22:00,53.51,53.61,53.13,53.32,77449176,0
09/09/2019,22:00,53.71,54.11,52.77,53.54,109237604,0
09/10/2019,22:00,53.47,54.20,52.93,54.18,127111724,0
09/11/2019,22:00,54.52,55.93,54.43,55.90,177158584,0
09/12/2019,22:00,56.20,56.61,55.72,55.77,128906676,0
09/13/2019,22:00,55.00,55.20,54.26,54.69,159053184,0
09/16/2019,22:00,54.43,55.03,54.39,54.98,84632564,0
09/17/2019,22:00,54.99,55.21,54.78,55.18,73545872,0
