"Date","Time","Open","High","Low","Close","Vol","OI"
03/22/2019,22:00,140.97,141.44,138.90,139.45,3877616,0
03/25/2019,22:00,139.06,139.91,138.35,139.18,2839766,0
03/26/2019,22:00,139.93,141.02,139.42,140.22,2553708,0
03/27/2019,22:00,140.41,140.49,138.40,139.24,3098233,0
03/28/2019,22:00,139.91,140.44,139.10,139.92,2663884,0
03/29/2019,22:00,140.50,141.22,140.15,141.10,3101454,0
04/01/2019,22:00,141.51,143.41,141.51,143.30,3984250,0
04/02/2019,22:00,143.35,143.95,142.60,143.00,2404920,0
04/03/2019,22:00,143.65,144.22,143.01,143.63,2681645,0
04/04/2019,22:00,143.62,144.14,142.54,142.78,2771462,0
04/05/2019,22:00,143.29,143.50,142.46,143.28,2731985,0
04/08/2019,22:00,143.02,143.42,142.87,143.39,2118228,0
04/09/2019,22:00,142.66,142.95,141.84,142.11,3038460,0
04/10/2019,22:00,142.20,143.50,141.98,143.02,2678310,0
04/11/2019,22:00,143.80,144.11,143.03,143.78,2941985,0
04/12/2019,22:00,144.26,144.44,143.70,144.35,2898899,0
04/15/2019,22:00,144.40,144.46,143.27,143.90,3603158,0
04/16/2019,22:00,144.40,145.39,144.02,145.14,6301671,0
04/17/2019,22:00,137.37,141.98,136.26,139.11,12525693,0
04/18/2019,22:00,139.00,140.49,138.70,140.33,4960015,0
04/22/2019,22:00,139.42,140.56,138.48,138.89,4494333,0
04/23/2019,22:00,139.15,140.92,138.94,140.44,4462240,0
04/24/2019,22:00,140.60,141.31,139.78,139.95,2774867,0
04/25/2019,22:00,139.70,139.75,137.71,138.63,2910113,0
04/26/2019,22:00,139.34,139.89,138.81,139.44,2319834,0
04/29/2019,22:00,139.15,139.63,138.81,139.05,2958333,0
04/30/2019,22:00,139.11,140.44,138.68,140.27,4638828,0
05/01/2019,22:00,140.55,141.81,140.17,140.56,3053683,0
05/02/2019,22:00,140.50,141.28,139.41,139.59,3541352,0
05/03/2019,22:00,139.70,141.00,139.63,140.25,2580034,0
05/06/2019,22:00,138.30,140.69,137.90,140.38,2793655,0
05/07/2019,22:00,139.15,139.51,136.19,137.64,4726771,0
05/08/2019,22:00,137.77,138.70,137.13,138.00,3818909,0
05/09/2019,22:00,134.89,135.58,133.03,135.34,4192942,0
05/10/2019,22:00,134.88,135.75,132.42,135.32,3977686,0
05/13/2019,22:00,133.28,133.57,130.96,131.42,4958021,0
05/14/2019,22:00,131.82,134.32,131.68,133.31,3280374,0
05/15/2019,22:00,132.59,134.59,132.37,134.40,2551009,0
05/16/2019,22:00,134.74,136.11,134.64,135.88,3017472,0
05/17/2019,22:00,134.68,135.41,133.94,134.32,2619135,0
05/20/2019,22:00,133.53,135.43,132.93,135.12,3264649,0
05/21/2019,22:00,136.12,137.06,135.79,136.45,2503504,0
05/22/2019,22:00,136.00,136.75,135.71,136.35,1849821,0
05/23/2019,22:00,135.13,135.13,130.44,132.39,5343437,0
05/24/2019,22:00,133.53,134.25,131.59,132.28,2596121,0
05/28/2019,22:00,132.13,132.64,130.27,130.46,4909121,0
05/29/2019,22:00,130.00,130.28,128.32,129.69,3678978,0
05/30/2019,22:00,129.74,129.97,128.93,129.57,2741880,0
05/31/2019,22:00,128.44,128.44,126.85,126.99,3539343,0
06/03/2019,22:00,127.10,128.56,127.06,128.27,4267080,0
06/04/2019,22:00,129.56,132.74,129.09,132.69,3913535,0
06/05/2019,22:00,133.38,133.61,130.47,131.49,3161584,0
06/06/2019,22:00,132.19,132.65,130.90,132.22,2298248,0
06/07/2019,22:00,132.47,134.72,132.21,133.31,2553398,0
06/10/2019,22:00,134.38,135.35,133.91,134.74,2911327,0
06/11/2019,22:00,135.32,136.46,135.05,135.95,3407345,0
06/12/2019,22:00,135.56,135.94,134.41,134.87,2254741,0
06/13/2019,22:00,135.13,136.27,135.09,135.76,2955419,0
06/14/2019,22:00,135.44,135.88,134.43,135.15,2193367,0
06/17/2019,22:00,135.39,136.03,134.70,134.95,2194129,0
06/18/2019,22:00,135.20,137.19,135.20,136.38,2914698,0
06/19/2019,22:00,136.43,138.36,136.24,137.08,2382520,0
06/20/2019,22:00,138.93,139.54,138.20,138.85,3071017,0
06/21/2019,22:00,138.44,139.54,138.39,139.20,5288759,0
06/24/2019,22:00,139.20,140.15,139.05,139.35,2186137,0
06/25/2019,22:00,139.46,139.55,138.13,138.36,2801251,0
06/26/2019,22:00,138.87,139.68,138.41,138.52,2284567,0
06/27/2019,22:00,138.72,139.30,137.95,138.52,2149824,0
06/28/2019,22:00,138.57,139.14,137.84,137.90,6154039,0
07/01/2019,22:00,139.60,141.49,139.28,139.88,3387184,0
07/02/2019,22:00,139.75,140.43,139.47,140.22,2410092,0
07/03/2019,22:00,140.72,141.82,140.43,141.54,1930361,0
07/05/2019,22:00,140.87,141.49,139.91,141.38,2135085,0
07/08/2019,22:00,141.05,141.29,140.27,140.57,2395487,0
07/09/2019,22:00,140.61,140.99,139.13,139.33,3365227,0
07/10/2019,22:00,140.00,141.91,139.79,140.47,2513931,0
07/11/2019,22:00,140.79,141.58,140.30,141.24,2133327,0
07/12/2019,22:00,141.92,142.92,141.66,142.74,2786276,0
07/15/2019,22:00,142.89,143.51,142.12,143.32,2368309,0
07/16/2019,22:00,143.17,144.04,143.02,143.53,3474688,0
07/17/2019,22:00,143.61,143.80,141.95,143.07,6064265,0
07/18/2019,22:00,142.50,150.31,142.20,149.63,12695387,0
07/19/2019,22:00,149.96,151.58,149.55,149.68,7290678,0
07/22/2019,22:00,150.16,151.94,149.70,149.74,4093239,0
07/23/2019,22:00,150.57,150.72,148.38,150.38,3742204,0
07/24/2019,22:00,150.12,151.45,149.20,150.03,2952435,0
07/25/2019,22:00,149.82,150.62,148.61,150.39,3102113,0
07/26/2019,22:00,151.00,151.41,150.10,151.36,2904494,0
07/29/2019,22:00,151.11,151.48,150.32,150.88,2075528,0
07/30/2019,22:00,150.00,150.40,149.22,149.77,2632726,0
07/31/2019,22:00,149.70,150.18,146.39,148.24,3722907,0
