Date,Time,Open,High,Low,Close,Vol
02/21/2019,23:00,60.36,60.65,58.1,58.25,44545910
02/22/2019,23:00,58.9,59.3,58.42,58.94,28702790
02/25/2019,23:00,59.58,60.58,59.4,59.75,33132610
02/26/2019,23:00,58.44,60.4,57.75,59.57,42912675
02/27/2019,23:00,60.36,63.26,60.11,62.95,55919540
02/28/2019,23:00,63.78,64,62.16,63.98,52603265
03/01/2019,23:00,61.39,61.43,58.38,58.96,114556875
03/04/2019,23:00,59.62,59.8,56.56,57.07,85484090
03/05/2019,23:00,56.4,56.8,54.02,55.31,93823700
03/06/2019,23:00,55.3,56.3,54.88,55.25,51677425
03/07/2019,23:00,55.77,56.94,54.85,55.32,47212415
03/08/2019,23:00,55.38,57.12,55.18,56.83,44098125
03/11/2019,23:00,56.7,58.26,56.1,58.18,36961390
03/12/2019,23:00,57.3,57.61,56.21,56.67,37520685
03/13/2019,23:00,56.78,58.4,56.54,57.79,34223595
03/14/2019,23:00,58.49,59.08,57.66,57.99,35517235
03/15/2019,23:00,56.7,56.74,54.88,55.09,73927655
03/18/2019,23:00,55.2,55.61,53.46,53.9,51404900
03/19/2019,23:00,53.5,54.66,52.69,53.49,59003150
03/20/2019,23:00,53.94,54.99,53.26,54.72,34541120
03/21/2019,23:00,54.52,55.29,53.69,54.8,29735490
03/22/2019,23:00,54.52,54.56,52.8,52.91,43728045
03/25/2019,23:00,51.94,52.64,50.89,52.08,51075145
03/26/2019,23:00,52.89,54.05,52.89,53.55,36754740
03/27/2019,23:00,53.75,55.07,53.64,54.97,43895830
03/28/2019,23:00,55.43,56.07,55.02,55.72,33870465
03/29/2019,23:00,55.74,56.03,54.9,55.97,29956690
04/01/2019,23:00,56.52,57.84,56.26,57.84,40552195
04/02/2019,23:00,57.66,57.89,56.78,57.18,27394700
04/03/2019,23:00,57.46,59.23,57.43,58.36,39649320
04/04/2019,23:00,52.38,54.24,52.12,53.56,118603645
04/05/2019,23:00,53.97,55.22,53.22,54.99,65191285
04/08/2019,23:00,55.54,56.23,54.09,54.64,52052180
04/09/2019,23:00,54.33,55,53.92,54.46,29520155
04/10/2019,23:00,55.35,55.68,54.58,55.21,35306570
04/11/2019,23:00,53.66,54.1,53.12,53.68,49179635
04/12/2019,23:00,54.04,54.39,53.37,53.54,33729870
04/15/2019,23:00,53.73,53.78,51.73,53.28,50192895
04/16/2019,23:00,53.15,55,52.94,54.67,36364650
04/17/2019,23:00,54.95,54.96,53.71,54.25,25632340
04/18/2019,23:00,54.25,54.97,53.95,54.65,29381625
04/22/2019,23:00,53.8,53.94,52.5,52.55,60735705
04/23/2019,23:00,52.03,53.12,51.15,52.78,54719295
04/24/2019,23:00,52.77,53.06,51.6,51.73,53637270
04/25/2019,23:00,51,51.8,49.21,49.53,109246965
04/26/2019,23:00,49.3,49.34,46.23,47.03,111803545
04/29/2019,23:00,47.17,48.8,46.43,48.29,83572380
04/30/2019,23:00,48.41,48.84,47.4,47.74,47323140
05/01/2019,23:00,47.77,48,46.3,46.8,53521770
05/02/2019,23:00,49.1,49.43,47.54,48.82,90796695
05/03/2019,23:00,48.77,51.32,48.7,51.01,118533855
05/06/2019,23:00,50,51.67,49.7,51.07,54169715
05/07/2019,23:00,51.36,51.44,49.02,49.41,50657040
05/08/2019,23:00,49.39,50.12,48.84,48.97,30882200
05/09/2019,23:00,48.4,48.74,47.39,48.4,33556910
